Postcode,Borough,Neighbourhood
M1B,Scarborough,"Rouge, Malvern"
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
M1E,Scarborough,"Guildwood, Morningside, West Hill"
M1G,Scarborough,Scarborough
M1H,Scarborough,Scarborough
M1J,Scarborough,Scarborough
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
M1N,Scarborough,"Birch Cliff, Cliffside West"
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
M1R,Scarborough,"Maryvale, Wexford"
M1S,Scarborough,Scarborough
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
M1W,Scarborough,Scarborough
M1X,Scarborough,Scarborough
M2H,North York,North York
M2J,North York,"Fairview, Henry Farm, Oriole"
M2K,North York,North York
M2L,North York,"Silver Hills, York Mills"
M2M,North York,"Newtonbrook, Willowdale"
M2N,North York,North York
M2P,North York,North York
M2R,North York,North York
M3A,North York,North York
M3B,North York,North York
M3C,North York,"Flemingdon Park, Don Mills South"
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
M3J,North York,"Northwood Park, York University"
M3K,North York,"CFB Toronto, Downsview East"
M3L,North York,North York
M3M,North York,North York
M3N,North York,North York
M4A,North York,North York
M4B,East York,"Woodbine Gardens, Parkview Hill"
M4C,East York,East York
M4E,East Toronto,East Toronto
M4G,East York,East York
M4H,East York,East York
M4J,East York,East York
M4K,East Toronto,"The Danforth West, Riverdale"
M4L,East Toronto,"The Beaches West, India Bazaar"
M4M,East Toronto,East Toronto
M4N,Central Toronto,Central Toronto
M4P,Central Toronto,Central Toronto
M4R,Central Toronto,Central Toronto
M4S,Central Toronto,Central Toronto
M4T,Central Toronto,"Moore Park, Summerhill East"
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
M4W,Downtown Toronto,Downtown Toronto
M4X,Downtown Toronto,"Cabbagetown, St. James Town"
M4Y,Downtown Toronto,Downtown Toronto
M5A,Downtown Toronto,Downtown Toronto
M5B,Downtown Toronto,"Ryerson, Garden District"
M5C,Downtown Toronto,Downtown Toronto
M5E,Downtown Toronto,Downtown Toronto
M5G,Downtown Toronto,Downtown Toronto
M5H,Downtown Toronto,"Adelaide, King, Richmond"
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M5M,North York,"Bedford Park, Lawrence Manor East"
M5N,Central Toronto,Central Toronto
M5P,Central Toronto,"Forest Hill North, Forest Hill West"
M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
M5S,Downtown Toronto,"Harbord, University of Toronto"
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
M5W,Downtown Toronto,Downtown Toronto
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M6A,North York,"Lawrence Heights, Lawrence Manor"
M6B,North York,North York
M6C,York,York
M6E,York,York
M6G,Downtown Toronto,Downtown Toronto
M6H,West Toronto,"Dovercourt Village, Dufferin"
M6J,West Toronto,"Little Portugal, Trinity"
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
M6L,North York,"Downsview, North Park, Upwood Park"
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
M6N,York,"The Junction North, Runnymede"
M6P,West Toronto,"High Park, The Junction South"
M6R,West Toronto,"Parkdale, Roncesvalles"
M6S,West Toronto,"Runnymede, Swansea"
M7A,Downtown Toronto,Downtown Toronto
M7R,Mississauga,Mississauga
M7Y,East Toronto,East Toronto
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
M8W,Etobicoke,"Alderwood, Long Branch"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
M9A,Queen's Park,Queen's Park
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
M9L,North York,North York
M9M,North York,"Emery, Humberlea"
M9N,York,York
M9P,Etobicoke,Etobicoke
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
M9W,Etobicoke,Etobicoke
